YearMonth,LangName,CommitCnts
2018-1,J,5068
2019-2,FLUX,2800
2010-8,Fluent,3381
2004-7,eC,905
2015-11,Inform 7,1900
2018-9,Jasmin,3226
2013-4,Genie,547
2019-7,FORTRAN,3453
2009-2,REXX,10016
2017-12,YARA,1398
2019-9,PureScript,4338
2020-5,Bicep,4047
2017-8,Bicep,3540
2018-12,Bicep,1855
2012-9,YASnippet,603
2006-7,Mask,17101
2001-7,Vala,759
2006-1,F#,594
2011-11,HyPhy,715
2019-1,Csound Document,648
2018-6,Csound Document,501
2009-4,Cap'n Proto,1040
2020-8,AGS Script,1052
2016-2,Red,6987
2003-9,Raku,21412
2002-6,Turing,22434
2003-11,Raku,17016
2016-5,NetLinx,265
2016-2,Genero,4
2013-12,ShaderLab,3261
2020-9,Squirrel,205
2011-9,Blade,636
2008-10,Red,2223
2011-8,Zephir,844
2014-11,ShellSession,544
2013-6,Inform 7,81
2011-2,Brightscript,335
2001-6,Nix,1567
2011-12,Mirah,827
2018-4,CWeb,2753
2004-3,CWeb,3928
2003-5,CWeb,4231
2011-2,CWeb,4314
2019-6,CodeQL,3768
2002-8,CWeb,5486
2005-11,CodeQL,657
2007-2,CodeQL,180
2007-10,CodeQL,108
2016-7,XML,1069
2018-5,XML,652
2018-9,XML,505
2017-9,Papyrus,229
2015-6,Self,3
2009-6,Pike,869
2010-10,Modula-3,2
2002-9,Starlark,206
2009-11,Grace,4
2013-10,Asymptote,199
2015-7,RouterOS Script,714
2018-6,Fantom,19
2012-9,RouterOS Script,158
2015-2,Nextflow,476
2015-7,KiCad Layout,581
2017-8,ATS,69
2020-7,Pony,107
2013-4,Cycript,1902
2020-5,VBA,6440
2015-1,Common Workflow Language,947
2000-2,Verilog,785
2005-9,Less,12227
2006-7,Less,11357
2015-12,PEG.js,3575
2009-5,Clarion,726
2009-2,NCL,152
2010-11,NCL,132
2011-5,NCL,76
2012-5,NCL,264
2010-9,NCL,135
2000-4,Euphoria,936
2005-8,Euphoria,672
2016-12,Befunge,11
2004-2,Euphoria,1308
2005-6,Euphoria,810
2015-5,Turing,4706
2000-5,Euphoria,945
2008-1,mIRC Script,3634
2005-7,Slim,99
2000-12,Sass,82
2017-11,Agda,774
2015-8,Bison,25923
2003-3,Puppet,7968
2016-8,StringTemplate,1339
2002-4,Puppet,5672
2007-2,Visual Basic 6.0,351
2016-4,Ren'Py,77
2011-7,StringTemplate,1893
2009-6,Faust,149
2009-6,ZenScript,107
2010-11,HCL,2907
2008-1,HCL,475
2003-2,Fluent,1
2004-9,PigLatin,45
2020-1,Agda,242
2005-1,Boo,4817
2003-6,Ragel in Ruby Host,1182
2013-5,Nasal,5239
2018-2,Nasal,7393
2018-1,Csound,1830
2020-1,Csound,527
2018-1,Mermaid,2730
2019-3,PowerBuilder,84
2012-9,ReScript,5601
2015-10,ReScript,7472
2000-5,UnrealScript,1099
2003-12,UnrealScript,2864
2017-6,LabVIEW,207
2003-10,ReScript,1496
2017-2,Kit,45
2017-6,Kit,30
2018-8,Xonsh,164
2013-10,Xonsh,18
2016-12,SVG,1
2019-2,Bluespec,116
2010-8,GAMS,163
2016-12,OpenQASM,7991
2012-12,GSC,1871
2016-8,Opa,270
2000-10,MAXScript,1976
2007-3,MAXScript,3027
2006-9,MAXScript,2531
2005-12,MAXScript,1410
2014-10,Closure Templates,526
2000-2,TSQL,548
2019-3,Pan,130
2000-3,Mercury,3452
2018-10,Nearley,424
2017-11,ASL,2996
2001-8,IGOR Pro,1286
2020-8,Chapel,76
2017-4,Fennel,149
2019-1,hoon,913
2017-5,Oz,1092
2020-11,Cairo,4
2015-12,DenizenScript,14
2019-4,HolyC,27
2018-10,Fennel,107
2019-8,Gleam,22
2020-8,Csound Score,364
2019-9,Cool,517
2006-11,ASP.NET,1246
2016-5,Opa,283
2018-11,LilyPond,1366
2007-1,1C Enterprise,57
2005-9,1C Enterprise,22
2010-6,1C Enterprise,77
2020-6,MQL5,47
2018-5,Astro,11
2007-4,TXL,324
2000-5,Starlark,4
2017-9,Moocode,61
2020-5,FLUX,2281
2016-9,Factor,595
2011-11,Inform 7,18
2008-8,AIDL,742
2018-7,Velocity Template Language,149
2018-10,Imba,80
2020-3,Marko,79
2018-7,Riot,2892
2012-5,KakouneScript,98
2014-1,KakouneScript,251
2012-2,KakouneScript,275
2006-8,RUNOFF,100
2012-1,BASIC,1236
2002-2,ASP.NET,28
2003-4,PEG.js,30
2000-4,PEG.js,30
2019-7,Dylan,336
2020-2,Dylan,180
2007-1,Nim,311
2008-5,Monkey,324
2007-6,Monkey,180
2018-9,Bison,8260
2015-10,Xojo,147
2020-12,Xojo,123
2000-12,Velocity Template Language,217
2010-3,Mirah,1518
2016-11,EQ,170
2009-9,DM,18120
2004-2,mupad,519
2018-6,CUE,485
2012-9,Kit,4
2012-9,Qt Script,130
2011-3,Reason,897
2014-7,Bluespec,2729
2008-11,Parrot,8223
2004-10,Parrot,2228
2013-11,NCL,357
2001-6,Dylan,8
2008-1,APL,87
2008-9,APL,277
2020-12,YARA,1026
2018-7,Cadence,2978
2014-11,Macaulay2,383
2018-9,Pure Data,1622
2005-4,RobotFramework,400
2019-10,Papyrus,75
2011-3,ECL,688
2010-7,Cool,1417
2011-4,ASL,537
2006-1,ASL,127
2005-3,ASL,40
2019-4,Opa,71
2009-7,Agda,218
2017-3,X10,16
2009-1,Stylus,345
2019-10,MQL4,16
2008-11,F*,103
2014-11,Papyrus,413
2005-1,Chapel,4264
2004-11,Chapel,3752
2008-12,LOLCODE,3594
2002-12,LOLCODE,3457
2012-12,Stan,535
2005-2,Visual Basic .NET,216
2010-10,Monkey C,588
2008-12,Monkey C,243
2008-6,ShaderLab,11
2002-9,Graphviz (DOT),53
2017-7,X10,10
2020-5,Cycript,548
2016-12,XPages,1
2012-4,Pony,62
2014-8,CAP CDS,513
2004-2,Elm,55
2020-12,Click,189
2011-3,CUE,137
2001-9,JFlex,7
2013-8,ShellSession,92
2007-10,PDDL,11
2018-9,PDDL,63
2010-6,jq,392
2009-4,jq,392
2012-3,Nunjucks,247
2019-3,Oz,232
2020-9,Oz,154
2007-9,Oz,13
2020-1,SQL,3
2011-10,Filebench WML,14
2011-12,Filebench WML,29
2018-4,Pure Data,1688
2011-12,RouterOS Script,98
2009-9,RouterOS Script,62
2010-9,RouterOS Script,102
2004-7,Faust,210
2003-10,Pep8,71
2008-11,Pep8,28
2008-4,Pep8,4
2002-8,Ragel,259
2002-2,Ragel,101
2014-5,Shen,342
2007-5,Idris,225
2007-1,X10,198
2008-7,NCL,137
